Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-54.0	0.0006672770821858412	0.0017162649794067132	0.004032726595898583	-0.0026981724315269006	0.697460169221686	0.9875799254970055
+	-53.0	0.0012909095588064478	0.0017824595201816418	0.004786160931634459	-0.002204341814021564	0.4689927976101207	0.9875799254970055
+	-52.0	0.0023993271467413193	0.0016748178464866255	0.005683502361319369	-0.0008848480678367307	0.15210029252824359	0.9057892884088191
+	-51.0	0.0016757663482378875	0.0016739324616460668	0.00495820539851913	-0.001606672702043355	0.3168776531942687	0.9490117611725694
+	-50.0	0.00040796694227402774	0.0017796346779875801	0.0038976790400469677	-0.0030817451554989127	0.8186996430414075	0.9890948859717803
+	-49.0	-0.00023459841720515598	0.0018796507133319806	0.0034512366112061793	-0.003920433445616491	0.9006843530798824	0.9890948859717803
+	-48.0	-0.0007359632493691402	0.0017540838069497833	0.0027036457655227313	-0.004175572264261012	0.6748347558744208	0.9875799254970055
+	-47.0	-3.545652532872226e-05	0.0017326824053352427	0.003362186162964022	-0.0034330992136214662	0.9836753661542845	0.9890948859717803
+	-46.0	-0.0010564948180048644	0.00190009008076765	0.0026694200698817536	-0.004782409705891482	0.5782445987046929	0.9875799254970055
+	-45.0	-0.0022776071334391678	0.0017569487226349937	0.0011676197372123384	-0.0057228340040906735	0.19497738708467718	0.9291077039261367
+	-44.0	0.0002298529665011931	0.0014951571670601632	0.0031617288837888545	-0.0027020229507864688	0.8778337622039778	0.9890948859717803
+	-43.0	0.0037576089829990207	0.001742610894186429	0.007174720592686221	0.0003404973733118202	0.03115473108825125	0.8553389807865344
+	-42.0	0.0034854335472115352	0.0020293540157826843	0.007464824007027218	-0.0004939569126041479	0.08601027291412362	0.9057892884088191
+	-41.0	-0.0008518245284986393	0.002188751436029848	0.0034401307024302576	-0.005143779759427536	0.6971740858370167	0.9875799254970055
+	-40.0	-0.0029625461575454497	0.0022974599610921867	0.0015425772363403967	-0.007467669551431296	0.19734809468413803	0.9291077039261367
+	-39.0	-0.0020287963309108615	0.0022200705666974505	0.002324573048963511	-0.006382165710785234	0.3608875218860723	0.9515705690033177
+	-38.0	-0.0003194328717272311	0.002177411399183432	0.003950285512357976	-0.004589151255812438	0.8833782664478115	0.9890948859717803
+	-37.0	0.001134314298304478	0.002404253822643848	0.005848851363004016	-0.0035802227663950595	0.6371145473999549	0.9875799254970055
