motif_id	motif_length
MA0474.2 ERG	10
MA0098.3 ETS1	10
MA0761.1 ETV1	10
MA0762.1 ETV2	11
MA0763.1 ETV3	10
MA0764.1 ETV4	10
MA0765.1 ETV5	10
MA0156.2 FEV	10
MA0766.1 GATA5	8
MA0767.1 GCM2	10
MA0768.1 LEF1	15
MA0769.1 Tcf7	12
MA0770.1 HSF2	13
MA0771.1 HSF4	13
MA0772.1 IRF7	14
MA0052.3 MEF2A	12
MA0773.1 MEF2D	12
MA0498.2 MEIS1	7
MA0774.1 MEIS2	8
MA0775.1 MEIS3	8
MA0776.1 MYBL1	12
MA0777.1 MYBL2	15
MA0105.4 NFKB1	13
MA0778.1 NFKB2	13
MA0779.1 PAX1	17
MA0780.1 PAX3	10
MA0781.1 PAX9	17
MA0782.1 PKNOX1	12
MA0783.1 PKNOX2	12
MA0784.1 POU1F1	14
MA0785.1 POU2F1	12
MA0786.1 POU3F1	12
MA0787.1 POU3F2	12
MA0788.1 POU3F3	13
MA0789.1 POU3F4	9
MA0790.1 POU4F1	14
MA0791.1 POU4F3	16
MA0792.1 POU5F1B	9
MA0793.1 POU6F2	10
MA0794.1 PROX1	12
MA0600.2 RFX2	16
MA0795.1 SMAD3	10
MA0796.1 TGIF1	12
MA0797.1 TGIF2	12
MA0798.1 RFX3	16
MA0799.1 RFX4	16
MA0510.2 RFX5	16
MA0511.2 RUNX2	9
MA0800.1 EOMES	13
MA0801.1 MGA	8
MA0802.1 TBR1	10
MA0803.1 TBX15	8
MA0804.1 TBX19	20
MA0805.1 TBX1	8
MA0806.1 TBX4	8
MA0807.1 TBX5	8
MA0808.1 TEAD3	8
MA0809.1 TEAD4	10
MA0810.1 TFAP2A(var.2)	12
MA0003.3 TFAP2A	11
MA0811.1 TFAP2B	12
MA0812.1 TFAP2B(var.2)	11
MA0813.1 TFAP2B(var.3)	13
MA0524.2 TFAP2C	12
MA0814.1 TFAP2C(var.2)	11
MA0815.1 TFAP2C(var.3)	13
MA0816.1 Ascl2	10
MA0461.2 Atoh1	10
