Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-27.0	-0.0034586811847095835	0.004151289885025704	0.004692946506661448	-0.011610308876080614	0.4050629680296438	0.9177699918509767
+	-26.0	0.0007656428711683453	0.004434037762187531	0.009472484842674975	-0.007941199100338282	0.8629617121147318	0.9656011539713506
+	-25.0	0.0038579165232122776	0.005266805687971656	0.014200012662054767	-0.0064841796156302105	0.46413087111900764	0.9177699918509767
+	-24.0	0.0008641231425733425	0.004144155729866665	0.009001741940718507	-0.007273495655571821	0.8348916472200212	0.9623560208413985
+	-23.0	-0.001008177287988154	0.0032403364862314023	0.005354668324360659	-0.007371022900336967	0.7557993384628162	0.9402297164423773
+	-22.0	-0.0001715614707115719	0.003736467626341994	0.0071655057576379124	-0.007508628699061056	0.9633918337674807	0.9887707050417602
+	-21.0	0.0009080946792064766	0.004041977862175509	0.008845073204379876	-0.007028883845966924	0.8223101113690745	0.9544519756205889
+	-20.0	0.0018382762772396052	0.004399187024734723	0.010476684040499354	-0.006800131486020143	0.6761828051130934	0.9177699918509767
+	-19.0	0.002526405210300442	0.00387918278281212	0.010143713244202109	-0.005090902823601224	0.5151018177108759	0.9177699918509767
+	-18.0	0.0028628602845274303	0.00461668302043214	0.011928351299112183	-0.006202630730057323	0.5354024284537136	0.9177699918509767
+	-17.0	0.001617557764171526	0.004482440889596913	0.010419445922445918	-0.007184330394102865	0.7183178716823648	0.9231148819066987
+	-16.0	0.0023906026168924828	0.003820634734293633	0.009892943518457622	-0.005111738284672657	0.5317269792344893	0.9177699918509767
+	-15.0	0.00449495671102119	0.005150523922356514	0.014608717636750986	-0.005618804214708606	0.3831403793609348	0.9177699918509767
+	-14.0	0.0012266832329425352	0.006005440068583881	0.01301918939795934	-0.010565822932074267	0.8382129937215421	0.9625107380376643
+	-13.0	-0.004329360382832032	0.005001522012731072	0.0054918148343084455	-0.014150535599972508	0.38702569701253076	0.9177699918509767
+	-12.0	-0.004380060575516713	0.00529242404810431	0.0060123407310323585	-0.014772461882065786	0.4081968156701731	0.9177699918509767
+	-11.0	-0.0007344954035275438	0.0050805755442047615	0.009241912277283104	-0.010710903084338193	0.8850959343630556	0.9719962624641556
+	-10.0	0.0029147170705435257	0.00502435312889209	0.012780724319143524	-0.006951290178056474	0.5620370969925469	0.9177699918509767
+	-9.0	0.005745509115371093	0.005111600579108507	0.015782838712176908	-0.004291820481434723	0.2614240672361412	0.9177699918509767
+	-8.0	0.002549394510884282	0.00497557554973137	0.012319620285287831	-0.0072208312635192685	0.6085586677339447	0.9177699918509767
+	-7.0	-0.0026981055915265536	0.004447625728275431	0.006035418217119676	-0.011431629400172783	0.5443029573140611	0.9177699918509767
+	-6.0	-0.0025461302020015905	0.005193009488043162	0.00765105696552936	-0.01274331736953254	0.6240881708839343	0.9177699918509767
+	-5.0	-0.002115079096294701	0.005524046721274763	0.008732145132492663	-0.012962303325082063	0.7019301900692472	0.9231148819066987
+	-4.0	-0.0027421707412905666	0.005049334723443521	0.007172891298364765	-0.012657232780945899	0.5872647551506871	0.9177699918509767
+	-3.0	0.00010201499695832502	0.005481589680026118	0.010865868995595163	-0.010661839001678514	0.9851575826171763	0.990389092619183
+	-2.0	0.002354191387473839	0.005642729052705564	0.013434464669967987	-0.008726081895020308	0.676664711576066	0.9177699918509767
+	-1.0	0.002625812493833388	0.005132846255814248	0.012704860894035986	-0.0074532359063692105	0.6091262117494913	0.9177699918509767
+	0.0	0.002338486242353629	0.005199725383050291	0.012548860991872031	-0.007871888507164772	0.6530538596359401	0.9177699918509767
+	1.0	0.0007244159722955435	0.005576103035993362	0.011673859922741352	-0.010225027978150265	0.8966745452559493	0.9776018507844645
+	2.0	-0.0016517738640158914	0.005526954879540638	0.009201160932837679	-0.01250470866086946	0.7651444715585666	0.9402297164423773
+	3.0	-0.005457673637340218	0.00511121222963574	0.004578893381952629	-0.015494240656633063	0.28601593564486727	0.9177699918509767
+	4.0	-0.00681630026937163	0.004962045402913996	0.002927357203968998	-0.01655995774271226	0.17001444395155965	0.9177699918509767
+	5.0	0.0005399752252423316	0.004468348827193544	0.009314191684045627	-0.008234241233560964	0.9038517481372312	0.9818821148828915
+	6.0	0.007526985319798685	0.005142622962230787	0.017625231625462652	-0.0025712609858652815	0.14377603825190888	0.9177699918509767
+	7.0	0.004685766275195182	0.005538841458211367	0.015562042001381943	-0.0061905094509915794	0.3978749364148967	0.9177699918509767
+	8.0	0.0013356223975536253	0.0052606007097575945	0.011665534209684423	-0.008994289414577172	0.7996599565386447	0.9433895268823268
+	9.0	0.00240001465986496	0.004559444854121461	0.011353110675684518	-0.006553081355954598	0.5988024580214977	0.9177699918509767
